codigo,localidad,url_xml
id07003,"Alcúdia",http://www.aemet.es/xml/municipios/localidad_07003.xml
id19004,Alaminos,http://www.aemet.es/xml/municipios/localidad_19004.xml
id45008,"Aldea en Cabo",http://www.aemet.es/xml/municipios/localidad_45008.xml
id17133,"Planes d'Hostoles, Les",http://www.aemet.es/xml/municipios/localidad_17133.xml
id42010,Aldealices,http://www.aemet.es/xml/municipios/localidad_42010.xml
id31249,Valtierra,http://www.aemet.es/xml/municipios/localidad_31249.xml
id10010,"Alcuéscar",http://www.aemet.es/xml/municipios/localidad_10010.xml
id17001,Agullana,http://www.aemet.es/xml/municipios/localidad_17001.xml
id16008,"Alcalá de la Vega",http://www.aemet.es/xml/municipios/localidad_16008.xml
id16011,Alcohujate,http://www.aemet.es/xml/municipios/localidad_16011.xml
id40006,Aldealcorvo,http://www.aemet.es/xml/municipios/localidad_40006.xml
id03005,Albatera,http://www.aemet.es/xml/municipios/localidad_03005.xml
id28007,"Alcorcón",http://www.aemet.es/xml/municipios/localidad_28007.xml
id05131,"Mirueña de los Infanzones",http://www.aemet.es/xml/municipios/localidad_05131.xml
id46015,"Alcàsser",http://www.aemet.es/xml/municipios/localidad_46015.xml
id20069,"Donostia/San Sebastián",http://www.aemet.es/xml/municipios/localidad_20069.xml
id50089,"Cuarte de Huerva",http://www.aemet.es/xml/municipios/localidad_50089.xml
id08306,"Vilalba Sasserra",http://www.aemet.es/xml/municipios/localidad_08306.xml
id19011,"Alcolea del Pinar",http://www.aemet.es/xml/municipios/localidad_19011.xml
id40189,"Santiuste de San Juan Bautista",http://www.aemet.es/xml/municipios/localidad_40189.xml
id47007,"Aldeamayor de San Martín",http://www.aemet.es/xml/municipios/localidad_47007.xml
id46005,"Alaquàs",http://www.aemet.es/xml/municipios/localidad_46005.xml
id39022,"Cillorigo de Liébana",http://www.aemet.es/xml/municipios/localidad_39022.xml
id08257,"Santa Maria de Miralles",http://www.aemet.es/xml/municipios/localidad_08257.xml
id05260,"Villanueva del Campillo",http://www.aemet.es/xml/municipios/localidad_05260.xml
id08286,"Torre de Claramunt, La",http://www.aemet.es/xml/municipios/localidad_08286.xml
id05227,"Santa María del Tiétar",http://www.aemet.es/xml/municipios/localidad_05227.xml
id44004,Aguaviva,http://www.aemet.es/xml/municipios/localidad_44004.xml
id50016,"Aldehuela de Liestos",http://www.aemet.es/xml/municipios/localidad_50016.xml
id42011,Aldealpozo,http://www.aemet.es/xml/municipios/localidad_42011.xml
id04009,"Alcudia de Monteagud",http://www.aemet.es/xml/municipios/localidad_04009.xml
id06002,Aceuchal,http://www.aemet.es/xml/municipios/localidad_06002.xml
id37024,"Aldeavieja de Tormes",http://www.aemet.es/xml/municipios/localidad_37024.xml
id40013,"Aldeasoña",http://www.aemet.es/xml/municipios/localidad_40013.xml
id33060,"San Martín del Rey Aurelio",http://www.aemet.es/xml/municipios/localidad_33060.xml
id46022,Alfafar,http://www.aemet.es/xml/municipios/localidad_46022.xml
id05267,"Zapardiel de la Ribera",http://www.aemet.es/xml/municipios/localidad_05267.xml
id05008,Aldeaseca,http://www.aemet.es/xml/municipios/localidad_05008.xml
id49148,"Peleas de Abajo",http://www.aemet.es/xml/municipios/localidad_49148.xml
id06007,Alconchel,http://www.aemet.es/xml/municipios/localidad_06007.xml
id25008,Albesa,http://www.aemet.es/xml/municipios/localidad_25008.xml
id19150,Hueva,http://www.aemet.es/xml/municipios/localidad_19150.xml
id34214,"Villalba de Guardo",http://www.aemet.es/xml/municipios/localidad_34214.xml
id03010,Alfafara,http://www.aemet.es/xml/municipios/localidad_03010.xml
id19054,Budia,http://www.aemet.es/xml/municipios/localidad_19054.xml
id25238,"Vallbona de les Monges",http://www.aemet.es/xml/municipios/localidad_25238.xml
id03006,"Alcalalí",http://www.aemet.es/xml/municipios/localidad_03006.xml
id50018,"Alfamén",http://www.aemet.es/xml/municipios/localidad_50018.xml
id13008,Alcubillas,http://www.aemet.es/xml/municipios/localidad_13008.xml
id18003,Albolote,http://www.aemet.es/xml/municipios/localidad_18003.xml
id08199,"Sant Bartomeu del Grau",http://www.aemet.es/xml/municipios/localidad_08199.xml
id26009,Alesanco,http://www.aemet.es/xml/municipios/localidad_26009.xml
id26010,"Alesón",http://www.aemet.es/xml/municipios/localidad_26010.xml
id10015,"Aldeanueva del Camino",http://www.aemet.es/xml/municipios/localidad_10015.xml
id30006,Aledo,http://www.aemet.es/xml/municipios/localidad_30006.xml
id29003,Alfarnate,http://www.aemet.es/xml/municipios/localidad_29003.xml
id44016,Alfambra,http://www.aemet.es/xml/municipios/localidad_44016.xml
id46027,"Alfarrasí",http://www.aemet.es/xml/municipios/localidad_46027.xml
id50009,Alarba,http://www.aemet.es/xml/municipios/localidad_50009.xml
id30002,"Abarán",http://www.aemet.es/xml/municipios/localidad_30002.xml
id10009,"Alcollarín",http://www.aemet.es/xml/municipios/localidad_10009.xml
id34079,Grijota,http://www.aemet.es/xml/municipios/localidad_34079.xml
id12003,"Albocàsser",http://www.aemet.es/xml/municipios/localidad_12003.xml
id09010,"Alcocero de Mola",http://www.aemet.es/xml/municipios/localidad_09010.xml
id10014,"Aldeanueva de la Vera",http://www.aemet.es/xml/municipios/localidad_10014.xml
id29004,Alfarnatejo,http://www.aemet.es/xml/municipios/localidad_29004.xml
id50274,"Val de San Martín",http://www.aemet.es/xml/municipios/localidad_50274.xml
id08001,Abrera,http://www.aemet.es/xml/municipios/localidad_08001.xml
id11001,"Alcalá de los Gazules",http://www.aemet.es/xml/municipios/localidad_11001.xml
id34104,"Melgar de Yuso",http://www.aemet.es/xml/municipios/localidad_34104.xml
id27002,Alfoz,http://www.aemet.es/xml/municipios/localidad_27002.xml
id50020,"Alhama de Aragón",http://www.aemet.es/xml/municipios/localidad_50020.xml
id46021,Aldaia,http://www.aemet.es/xml/municipios/localidad_46021.xml
id46043,"Aielo de Rugat",http://www.aemet.es/xml/municipios/localidad_46043.xml
id08293,Vallcebre,http://www.aemet.es/xml/municipios/localidad_08293.xml
id13010,Alhambra,http://www.aemet.es/xml/municipios/localidad_13010.xml
id19010,"Alcolea de las Peñas",http://www.aemet.es/xml/municipios/localidad_19010.xml
id10136,"Oliva de Plasencia",http://www.aemet.es/xml/municipios/localidad_10136.xml
id04011,"Alhama de Almería",http://www.aemet.es/xml/municipios/localidad_04011.xml
id42085,Fuentearmegil,http://www.aemet.es/xml/municipios/localidad_42085.xml
id16013,Algarra,http://www.aemet.es/xml/municipios/localidad_16013.xml
id18012,Algarinejo,http://www.aemet.es/xml/municipios/localidad_18012.xml
id17102,"Maçanet de Cabrenys",http://www.aemet.es/xml/municipios/localidad_17102.xml
id46026,Alfarp,http://www.aemet.es/xml/municipios/localidad_46026.xml
id46042,"Aielo de Malferit",http://www.aemet.es/xml/municipios/localidad_46042.xml
id01014,Berantevilla,http://www.aemet.es/xml/municipios/localidad_01014.xml
id50290,"Villanueva de Huerva",http://www.aemet.es/xml/municipios/localidad_50290.xml
id09024,"Arenillas de Riopisuerga",http://www.aemet.es/xml/municipios/localidad_09024.xml
id04012,"Alicún",http://www.aemet.es/xml/municipios/localidad_04012.xml
id31048,Barillas,http://www.aemet.es/xml/municipios/localidad_31048.xml
id42016,Aliud,http://www.aemet.es/xml/municipios/localidad_42016.xml
id42015,Alentisque,http://www.aemet.es/xml/municipios/localidad_42015.xml
id46029,"Algemesí",http://www.aemet.es/xml/municipios/localidad_46029.xml
id25017,Alins,http://www.aemet.es/xml/municipios/localidad_25017.xml
id30008,"Alhama de Murcia",http://www.aemet.es/xml/municipios/localidad_30008.xml
id18015,"Alicún de Ortega",http://www.aemet.es/xml/municipios/localidad_18015.xml
id04010,Alhabia,http://www.aemet.es/xml/municipios/localidad_04010.xml
id10017,"Alía",http://www.aemet.es/xml/municipios/localidad_10017.xml
id22011,"Albero Alto",http://www.aemet.es/xml/municipios/localidad_22011.xml
id46011,Alberic,http://www.aemet.es/xml/municipios/localidad_46011.xml
id08116,"Masies de Roda, Les",http://www.aemet.es/xml/municipios/localidad_08116.xml
